row_id,source,lat_deg,lon_deg,report_date,status_id,water_source_clean,water_source_category,water_tech_clean,_water_tech_category,facility_type,clean_country_name,clean_country_id,clean_adm1,clean_adm2,clean_adm3,clean_adm4,install_year,installer,rehab_year,rehabilitator,management_clean,status_clean,pay_clean,fecal_coliform_presence,fecal_coliform_value,subjective_quality_clean,activity_id,scheme_id,wpdx_id,notes,orig_lnk,photo_lnk,country_id,data_lnk,distance_to_primary,distance_to_secondary,distance_to_tertiary,distance_to_city,distance_to_town,water_point_history,local_population,served_population,rehab_priority,_pop_who_would_gain_access,crucialness,pressure,usage_cap,days_since_report,staleness_score,is_latest,location_id,is_urban,cluster_size,country_name,water_source,water_tech,status,adm1,adm2,adm3,management,pay,subjective_quality,new_georeferenced_column_,lat_lon_deg,public_data_source,converted,count,created_timestamp,updated,is_duplicate,dataset_title
778031,Evidence Action,-1.037077427,34.35804553,2014-03-14T00:00:00.000,Yes,Borehole/Tubewell,Well,,,Improved,Kenya,KEN,Migori,Suna West,Wiga,,,,,,,Non-Functional,,,,,,,6GCPX975+567,Kanyapala Borehole,,,KE,https://catalog.waterpointdata.org/datasets/evidence-action-kenya-wpdx-reingestion-5f74c47f,60473.07539,86.20851364,1282.758349,61097.6931,12515.44934,"{""2014-03-14"": {""source"": ""Evidence Action"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole/Tubewell""}}",1340.0,402.0,,,0.3,1.34,300.0,4510,24.13248083,True,131306,False,1,Kenya,Borehole,,,,,,,,,POINT (34.3580455285 -1.0370774269),"(-1.0370774269°, 34.3580455285°)",https://catalog.waterpointdata.org/datafiles/evidence-action-kenya-wpdx-reingestion-5f74c47f.xlsx,,1,2020-09-30T17:46:39.000,2020-09-30T17:46:39.000,,Evidence Action_Kenya_2012-2016
652654,Evidence Action,-0.821468333,34.26834,2023-12-15T00:00:00.000,Yes,Borehole/Tubewell,Well,,,Improved,Kenya,KEN,Migori,Nyatike,Kanyasa,,,,,,,Non-Functional,,,,,10311111,,6GFP57H9+C88,,,,KE,https://catalog.waterpointdata.org/datasets/evidence-action-kenya-2023-2024-66217272,56871.93576,4724.147147,4009.326904,58081.89647,30837.39952,"{""2023-12-15"": {""source"": ""Evidence Action"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole/Tubewell""}}",1250.0,771.0,,,0.6168,2.57,300.0,947,74.19251672,True,432415,False,1,Kenya,Borehole,,,Homa Bay,Ndhiwa,Kadhola,,,,POINT (34.26834 -0.8214683333),"(-0.8214683333°, 34.26834°)",https://catalog.waterpointdata.org/datafiles/evidence-action-kenya-2023-2024-66217272.xlsx,,1,2024-04-18T19:20:18.000,2024-04-18T19:20:18.000,,Evidence Action_Kenya_2023-2024
777817,Evidence Action,-1.033598512,34.4297619,2014-03-13T00:00:00.000,Yes,Protected Well,Well,,,Improved,Kenya,KEN,Migori,Suna East,Kakrao,,,,,,,Non-Functional,,,,,,,6GCPXC8H+HW6,Nyakirombe Protected Spring,,,KE,https://catalog.waterpointdata.org/datasets/evidence-action-kenya-wpdx-reingestion-5f74c47f,54631.76949,3455.767534,155.6619845,55112.24352,5488.813436,"{""2014-03-13"": {""source"": ""Evidence Action"", ""status_id"": ""Yes"", ""water_source_clean"": ""Protected Well""}}",1244.0,689.0,,,0.553858521,2.296666667,300.0,4511,24.12487516,True,131293,False,1,Kenya,Protected Spring,,,,,,,,,POINT (34.4297619027 -1.0335985118),"(-1.0335985118°, 34.4297619027°)",https://catalog.waterpointdata.org/datafiles/evidence-action-kenya-wpdx-reingestion-5f74c47f.xlsx,,1,2020-09-30T17:46:39.000,2020-09-30T17:46:39.000,,Evidence Action_Kenya_2012-2016
641922,Evidence Action,-1.155366659,34.4180603,2023-11-12T00:00:00.000,Yes,Borehole/Tubewell,Well,,,Improved,Kenya,KEN,Migori,Kuria West,Nyamosense/Komosoko,,,,,,,Non-Functional,,,,,10340119,,6GCPRCV9+V63,,,,KE,https://catalog.waterpointdata.org/datasets/evidence-action-kenya-2023-2024-66217272,65447.87678,6337.807411,2810.616757,66353.19892,11600.90608,"{""2023-11-12"": {""source"": ""Evidence Action"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole/Tubewell""}}",1057.0,342.0,,,0.323557237,1.14,300.0,980,73.42476355,True,429249,False,1,Kenya,Borehole,,,Migori,Kuria West,Iraha,,,,POINT (34.418060302734375 -1.1553666591644287),"(-1.1553666591644287°, 34.418060302734375°)",https://catalog.waterpointdata.org/datafiles/evidence-action-kenya-2023-2024-66217272.xlsx,,1,2024-04-18T19:20:18.000,2024-04-18T19:20:18.000,,Evidence Action_Kenya_2023-2024
641012,Evidence Action,-1.227414966,34.55416489,2023-11-27T00:00:00.000,Yes,Borehole/Tubewell,Well,,,Improved,Kenya,KEN,Migori,Kuria East,Gokeharaka/Getambwega,,,,,,,Non-Functional,,,,,10321064,,6GCPQHF3+2MM,,,,KE,https://catalog.waterpointdata.org/datasets/evidence-action-kenya-2023-2024-66217272,63450.51331,4580.259987,2101.741216,66124.21867,7749.633884,"{""2023-11-27"": {""source"": ""Evidence Action"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole/Tubewell""}}",1533.0,298.0,,,0.194390085,0.993333333,300.0,965,73.7727524,True,431431,False,1,Kenya,Borehole,,,Migori,Kuria West,Ihore,,,,POINT (34.55416488647461 -1.2274149656295776),"(-1.2274149656295776°, 34.55416488647461°)",https://catalog.waterpointdata.org/datafiles/evidence-action-kenya-2023-2024-66217272.xlsx,,1,2024-04-18T19:20:18.000,2024-04-18T19:20:18.000,,Evidence Action_Kenya_2023-2024
799197,Evidence Action,-1.167887198,34.47960665,2014-08-27T00:00:00.000,Yes,Borehole/Tubewell,Well,,,Improved,Kenya,KEN,Migori,Kuria West,Tagare,,,,,,,Non-Functional,,,,,,,6GCPRFJH+RRX,Kemosoti Borehole,,,KE,https://catalog.waterpointdata.org/datasets/evidence-action-kenya-wpdx-reingestion-5f74c47f,62452.46111,5324.883024,206.1030412,63773.17989,8009.531275,"{""2014-08-27"": {""source"": ""Evidence Action"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole/Tubewell""}}",1811.0,837.0,,,0.462175594,2.79,300.0,4344,25.42884286,True,139773,False,1,Kenya,Borehole,,,,,,,,,POINT (34.4796066509 -1.1678871975),"(-1.1678871975°, 34.4796066509°)",https://catalog.waterpointdata.org/datafiles/evidence-action-kenya-wpdx-reingestion-5f74c47f.xlsx,,1,2020-09-30T17:46:39.000,2020-09-30T17:46:39.000,,Evidence Action_Kenya_2012-2016
640388,Evidence Action,-1.004293323,34.56266403,2023-12-14T00:00:00.000,Yes,Borehole/Tubewell,Well,,,Improved,Kenya,KEN,Migori,Uriri,East Kanyamkago,,,,,,,Non-Functional,,,,,10320239,,6GCPXHW7+73M,,,,KE,https://catalog.waterpointdata.org/datasets/evidence-action-kenya-2023-2024-66217272,42357.63477,13074.00793,81.75336012,43502.94641,11192.76748,"{""2023-12-14"": {""source"": ""Evidence Action"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole/Tubewell""}}",1096.0,317.0,,,0.289233577,1.056666667,300.0,948,74.16913394,True,432236,False,1,Kenya,Borehole,,,Migori,Suna East,Remo,,,,POINT (34.56266403198242 -1.0042933225631714),"(-1.0042933225631714°, 34.56266403198242°)",https://catalog.waterpointdata.org/datafiles/evidence-action-kenya-2023-2024-66217272.xlsx,,1,2024-04-18T19:20:18.000,2024-04-18T19:20:18.000,,Evidence Action_Kenya_2023-2024
642539,Evidence Action,-0.982061684,34.43284988,2023-04-12T00:00:00.000,Yes,Protected Well,Well,Motorized Pump - Electric,Motorized Pump,Improved,Kenya,KEN,Migori,Uriri,West Kanyamkago,,,,,,,Non-Functional,,,,,10340800,,6GFP2C9M+54H,,,,KE,https://catalog.waterpointdata.org/datasets/evidence-action-kenya-2023-2024-66217272,50253.6816,8321.039489,423.2356312,50844.21684,10074.33145,"{""2023-04-12"": {""source"": ""Evidence Action"", ""status_id"": ""Yes"", ""water_source_clean"": ""Protected Well"", ""water_tech_clean"": ""Motorized Pump - Electric""}}",1637.0,512.0,,,0.312767257,1.706666667,300.0,1194,68.63520761,True,425446,False,1,Kenya,Protected Spring (not powered by solar/electricity),,,Migori,Uriri,Kajulu 1,,,,POINT (34.4328498840332 -0.9820616841316223),"(-0.9820616841316223°, 34.4328498840332°)",https://catalog.waterpointdata.org/datafiles/evidence-action-kenya-2023-2024-66217272.xlsx,,1,2024-04-18T19:20:18.000,2024-04-18T19:20:18.000,,Evidence Action_Kenya_2023-2024
639545,Evidence Action,-0.902018309,34.58051682,2023-11-22T00:00:00.000,Yes,Protected Well,Well,Motorized Pump - Electric,Motorized Pump,Improved,Kenya,KEN,Migori,Awendo,South Sakwa,,,,,,,Non-Functional,,,,,10310235,,6GFP3HXJ+56R,,,,KE,https://catalog.waterpointdata.org/datasets/evidence-action-kenya-2023-2024-66217272,32557.73677,15400.48925,260.9851335,33107.12588,5471.238803,"{""2023-11-22"": {""source"": ""Evidence Action"", ""status_id"": ""Yes"", ""water_source_clean"": ""Protected Well"", ""water_tech_clean"": ""Motorized Pump - Electric""}}",1259.0,1259.0,,,1.0,4.196666667,300.0,970,73.65657325,True,430762,False,1,Kenya,Protected Spring (not powered by solar/electricity),,,Migori,Awendo,Kogello East,,,,POINT (34.58051681518555 -0.9020183086395264),"(-0.9020183086395264°, 34.58051681518555°)",https://catalog.waterpointdata.org/datafiles/evidence-action-kenya-2023-2024-66217272.xlsx,,1,2024-04-18T19:20:18.000,2024-04-18T19:20:18.000,,Evidence Action_Kenya_2023-2024
640977,Evidence Action,-1.331778288,34.68755722,2023-11-23T00:00:00.000,Yes,Borehole/Tubewell,Well,,,Improved,Kenya,KEN,Migori,Kuria East,Ntimaru West,,,,,,,Non-Functional,,,,,10321009,,6GCPMM9Q+72M,,,,KE,https://catalog.waterpointdata.org/datasets/evidence-action-kenya-2023-2024-66217272,67523.94373,4870.671217,398.2859744,73783.39494,17087.62263,"{""2023-11-23"": {""source"": ""Evidence Action"", ""status_id"": ""Yes"", ""water_source_clean"": ""Borehole/Tubewell""}}",3822.0,1003.0,,,0.262428048,3.343333333,300.0,969,73.67979443,True,431011,False,1,Kenya,Borehole,,,Migori,Kuria East,Wangirabose,,,,POINT (34.687557220458984 -1.3317782878875732),"(-1.3317782878875732°, 34.687557220458984°)",https://catalog.waterpointdata.org/datafiles/evidence-action-kenya-2023-2024-66217272.xlsx,,1,2024-04-18T19:20:18.000,2024-04-18T19:20:18.000,,Evidence Action_Kenya_2023-2024
